date,open,high,low,close,adjusted_close,volume,sma_50,rsi_14
1999-01-04,2.73,2.97,2.67,2.96,2.96,785844000,,
1999-01-05,2.74,3.24,2.66,3.11,3.11,1257464000,,
1999-01-06,3.41,3.51,3.35,3.45,3.45,723532000,,
1999-01-07,3.43,4.01,3.33,3.97,3.97,945492000,,
1999-01-08,4.61,4.98,3.8,4.01,4.01,1333244000,,
1999-01-11,4.6,4.62,4.19,4.62,4.62,778460000,,
1999-01-12,4.51,4.55,3.97,4.08,4.08,488864000,,
1999-01-13,3.12,4.09,3.12,3.7,3.7,597528000,,
1999-01-14,3.75,3.98,3.4,3.45,3.45,418248000,,
1999-01-15,3.5,3.75,3.44,3.51,3.51,402652000,,
1999-01-19,3.76,3.76,3.41,3.5,3.5,228108000,,
1999-01-20,3.38,3.42,2.74,2.83,2.83,610704000,,
1999-01-21,2.61,2.76,2.31,2.65,2.65,940964000,,
1999-01-22,2.49,3.15,2.47,3.08,3.08,875316000,,
1999-01-25,3.04,3.08,2.75,2.81,2.81,546476000,,48.31460674157303
1999-01-26,2.82,3.03,2.77,2.88,2.88,490696000,,49.17559068502464
1999-01-27,3.35,3.49,3.0,3.14,3.14,700452000,,52.35059760956175
1999-01-28,3.16,3.22,3.01,3.07,3.07,475012000,,51.419259171441986
1999-01-29,3.04,3.04,2.88,2.92,2.92,327920000,,49.39150167063381
1999-02-01,2.94,3.06,2.88,2.9,2.9,255620000,,49.1133936172716
1999-02-02,2.91,2.91,2.71,2.76,2.76,260972000,,47.11357715991899
1999-02-03,2.72,3.15,2.71,3.14,3.14,375820000,,52.73874735261587
1999-02-04,3.13,3.17,2.91,2.95,2.95,232992000,,49.88188685209851
1999-02-05,2.92,3.07,2.81,2.9,2.9,171320000,,49.12768668274904
1999-02-08,2.86,2.88,2.64,2.73,2.73,251964000,,46.550579705144415
1999-02-09,2.7,2.7,2.5,2.5,2.5,256520000,,43.245296977982825
1999-02-10,2.46,2.58,2.38,2.44,2.44,264100000,,42.399526303574284
1999-02-11,2.51,2.75,2.49,2.75,2.75,275860000,,48.05245953235353
1999-02-12,2.7,2.75,2.59,2.61,2.61,155308000,,45.863363915321
1999-02-16,2.67,2.71,2.42,2.47,2.47,155596000,,43.71850328101984
1999-02-17,2.46,2.55,2.31,2.34,2.34,193372000,,41.765294272402926
1999-02-18,2.41,2.41,2.11,2.24,2.24,431252000,,40.274707842620074
1999-02-19,2.36,2.56,2.28,2.55,2.55,538364000,,46.63326563253216
1999-02-22,2.54,2.74,2.45,2.66,2.66,384244000,,48.71952386525883
1999-02-23,2.75,2.92,2.74,2.88,2.88,422784000,,52.70201445774197
1999-02-24,2.94,3.05,2.76,2.77,2.77,495728000,,50.58661206259797
1999-02-25,2.92,3.14,2.87,3.12,3.12,733796000,,56.56114775722336
1999-02-26,3.17,3.25,3.03,3.2,3.2,507308000,,57.81662116372485
1999-03-01,3.17,3.4,3.1,3.33,3.33,387380000,,59.847481313595196
1999-03-02,3.36,3.39,3.03,3.03,3.03,332064000,,53.45210566932781
1999-03-03,3.09,3.19,3.01,3.09,3.09,310576000,,54.49936047213222
1999-03-04,3.14,3.17,2.9,3.0,3.0,357748000,,52.58811755696402
1999-03-05,3.1,3.11,2.96,3.04,3.04,243524000,,53.37079826355622
1999-03-08,3.04,3.16,2.98,3.05,3.05,209252000,,53.5771243595058
1999-03-09,3.13,3.33,3.09,3.25,3.25,325840000,,57.61644424793075
1999-03-10,3.42,3.47,3.35,3.43,3.43,282352000,,60.91282720664506
1999-03-11,3.49,3.57,3.28,3.37,3.37,325044000,,59.25837791981675
1999-03-12,3.35,3.38,3.22,3.33,3.33,186652000,,58.12493256102956
1999-03-15,3.33,3.47,3.28,3.47,3.47,140416000,,60.94088887252973
1999-03-16,3.47,3.51,3.32,3.35,3.35,150688000,3.087800000000001,57.3791475201665
1999-03-17,3.28,3.34,3.21,3.28,3.28,157348000,3.0942000000000007,55.34702741741738
1999-03-18,3.32,3.5,3.31,3.46,3.46,246004000,3.1012000000000004,59.335192691333596
1999-03-19,3.55,3.58,3.38,3.38,3.38,214504000,3.0998000000000006,56.902666335855066
1999-03-22,3.33,3.41,3.26,3.3,3.3,131968000,3.086400000000001,54.49664408258763
1999-03-23,3.22,3.25,2.95,2.98,2.98,224336000,3.065800000000001,46.0998875051413
1999-03-24,2.93,3.1,2.85,3.09,3.09,230876000,3.035200000000001,49.008380357554955
1999-03-25,3.22,3.5,3.2,3.5,3.5,321996000,3.0236000000000005,58.08670979648678
1999-03-26,3.5,3.69,3.43,3.48,3.48,498440000,3.0192000000000005,57.54847499671375
1999-03-29,3.75,3.79,3.7,3.74,3.74,377760000,3.0250000000000012,62.423127514153286
1999-03-30,3.8,4.24,3.79,4.12,4.12,523548000,3.0372000000000012,68.17505004649696
1999-03-31,4.28,4.45,4.13,4.3,4.3,441884000,3.0532000000000017,70.4801026067496
1999-04-01,4.48,4.5,4.19,4.28,4.28,231464000,3.0822000000000016,69.87451900226866
1999-04-05,4.32,4.69,4.29,4.66,4.66,318336000,3.122400000000001,74.37897514704837
1999-04-06,4.61,4.89,4.49,4.57,4.57,290636000,3.152200000000001,71.64655619106244
1999-04-07,4.67,4.68,4.28,4.4,4.4,263332000,3.184000000000001,66.6647753851118
1999-04-08,4.37,4.6,4.15,4.47,4.47,229756000,3.215800000000001,67.66187362757566
1999-04-09,4.45,4.65,4.39,4.57,4.57,136780000,3.244400000000001,69.08452075583155
1999-04-12,4.4,4.71,4.4,4.61,4.61,171384000,3.2752000000000017,69.65949685340877
1999-04-13,4.67,4.8,4.46,4.46,4.46,160776000,3.306000000000002,64.79298540059958
1999-04-14,4.55,4.61,4.17,4.2,4.2,199056000,3.3320000000000016,57.31823039590744
1999-04-15,4.15,4.26,3.78,4.18,4.18,329968000,3.360400000000002,56.77563970430628
1999-04-16,4.6,4.79,4.52,4.75,4.75,633204000,3.392600000000002,66.50681952953214
1999-04-19,4.72,4.72,3.88,3.97,3.97,567396000,3.4130000000000025,49.938546245422295
1999-04-20,3.93,4.36,3.84,4.3,4.3,400100000,3.4410000000000025,55.041555618206495
1999-04-21,4.31,4.55,4.22,4.48,4.48,221640000,3.4760000000000026,57.58148486774049
1999-04-22,4.61,4.78,4.45,4.75,4.75,250764000,3.5210000000000026,61.12890825321449
1999-04-23,4.82,5.41,4.79,5.25,5.25,634336000,3.5772000000000026,66.68520718606689
1999-04-26,5.22,5.4,5.1,5.18,5.18,279700000,3.6258000000000026,65.2783793675882
1999-04-27,5.43,5.53,5.05,5.15,5.15,357908000,3.6766000000000023,64.6489014632871
1999-04-28,5.0,5.05,4.56,4.84,4.84,389476000,3.7240000000000024,58.38379350695264
1999-04-29,4.31,4.54,4.12,4.21,4.21,844168000,3.7614000000000027,48.167661219172345
1999-04-30,4.43,4.5,4.12,4.3,4.3,355528000,3.8026000000000026,49.52642788215655
1999-05-03,4.17,4.18,3.75,3.77,3.77,523728000,3.8270000000000026,42.46638395694226
1999-05-04,3.82,4.01,3.51,3.58,3.58,433928000,3.8454000000000033,40.25119106868745
1999-05-05,3.6,3.71,3.35,3.66,3.66,554196000,3.861000000000003,41.63177813011754
1999-05-06,3.7,3.78,3.39,3.43,3.43,365688000,3.874200000000003,38.85223697883157
1999-05-07,3.52,3.6,3.28,3.41,3.41,333080000,3.880000000000003,38.610833144598104
1999-05-10,3.42,3.67,3.35,3.67,3.67,284824000,3.889400000000003,43.52356900361415
1999-05-11,3.77,3.85,3.6,3.71,3.71,278828000,3.897000000000003,44.26257825834374
1999-05-12,3.7,3.72,3.54,3.57,3.57,146548000,3.9078000000000026,42.18209828200283
1999-05-13,3.61,3.7,3.4,3.4,3.4,229980000,3.914000000000003,39.73948541312564
1999-05-14,3.33,3.37,3.25,3.31,3.31,225336000,3.9202000000000026,38.46943618666351
1999-05-17,3.25,3.45,3.04,3.44,3.44,417164000,3.9282000000000026,41.383529829670294
1999-05-18,3.41,3.44,3.27,3.32,3.32,248156000,3.9336000000000024,39.522801756415106
1999-05-19,3.35,3.49,3.34,3.49,3.49,252384000,3.938400000000003,43.405067699749885
1999-05-20,3.42,3.45,3.26,3.27,3.27,137880000,3.9352000000000027,39.84072619545553
1999-05-21,3.27,3.3,3.14,3.21,3.21,160112000,3.9320000000000026,38.90245342237652
1999-05-24,3.22,3.23,2.9,2.94,2.94,285076000,3.9242000000000026,34.917343866680966
1999-05-25,2.93,3.03,2.78,2.79,2.79,310204000,3.9106000000000023,32.900912715504084
1999-05-26,2.83,3.05,2.61,3.02,3.02,423172000,3.9040000000000026,38.74240000661147
1999-05-27,2.99,3.01,2.85,2.86,2.86,271468000,3.895600000000003,36.37031260307535
1999-05-28,2.89,3.01,2.8,2.97,2.97,193604000,3.885800000000003,39.12966546490745
1999-06-01,2.79,2.84,2.62,2.65,2.65,401528000,3.871200000000003,34.44939427748042
1999-06-02,2.62,2.88,2.43,2.8,2.8,738128000,3.861200000000003,38.18194877351069
1999-06-03,2.85,2.86,2.61,2.63,2.63,346232000,3.854200000000003,35.70081636812276
1999-06-04,2.64,2.75,2.54,2.71,2.71,389836000,3.846600000000003,37.75080447984093
1999-06-07,2.71,3.0,2.7,2.93,2.93,338028000,3.835200000000003,43.121283772438765
1999-06-08,3.0,3.03,2.76,2.79,2.79,276888000,3.8214000000000032,40.71407418181568
1999-06-09,2.85,2.86,2.74,2.85,2.85,178084000,3.803600000000003,42.20320842906353
1999-06-10,2.8,2.95,2.75,2.9,2.9,254212000,3.779200000000003,43.47732277871363
1999-06-11,2.88,2.92,2.62,2.65,2.65,277732000,3.746200000000003,38.86406627861449
1999-06-14,2.6,2.61,2.24,2.3,2.3,415292000,3.706600000000003,33.50416993702095
1999-06-15,2.31,2.49,2.27,2.41,2.41,366188000,3.661600000000003,36.46967424300135
1999-06-16,2.53,2.83,2.53,2.79,2.79,434144000,3.626000000000003,45.51022264214756
1999-06-17,2.79,2.98,2.74,2.82,2.82,380828000,3.594400000000003,46.161593363050386
1999-06-18,2.8,2.86,2.74,2.78,2.78,159440000,3.5606000000000027,45.38261369209187
1999-06-21,2.84,3.09,2.79,3.09,3.09,324544000,3.5310000000000032,52.12536571968728
1999-06-22,3.08,3.24,2.91,2.94,2.94,334588000,3.497600000000003,48.97476829590606
1999-06-23,2.89,3.03,2.8,2.94,2.94,328596000,3.4672000000000027,48.97476829590606
1999-06-24,2.95,2.97,2.83,2.84,2.84,167104000,3.440000000000003,46.78822310188131
1999-06-25,2.91,2.94,2.7,2.75,2.75,195036000,3.4114000000000027,44.847551724708865
1999-06-28,2.78,2.8,2.56,2.77,2.77,337436000,3.371800000000003,45.38963090776802
1999-06-29,2.76,2.96,2.72,2.9,2.9,312960000,3.350400000000003,48.90502610787492
1999-06-30,2.91,3.23,2.88,3.13,3.13,338124000,3.3270000000000026,54.4871817284622
1999-07-01,3.13,3.16,2.95,3.06,3.06,287656000,3.298600000000003,52.60355962166328
1999-07-02,3.08,3.15,3.02,3.1,3.1,144168000,3.2656000000000027,53.590860635520556
1999-07-06,3.2,3.33,3.14,3.17,3.17,297724000,3.2240000000000024,55.343961028842656
1999-07-07,3.15,3.19,3.0,3.05,3.05,199760000,3.1814000000000027,51.73598313267889
1999-07-08,3.14,3.19,3.03,3.13,3.13,212488000,3.1410000000000027,53.89395094083943
1999-07-09,3.15,3.19,3.1,3.14,3.14,111636000,3.107000000000002,54.16979775200905
1999-07-12,3.12,3.14,2.9,2.93,2.93,213064000,3.081400000000002,47.71386974788966
1999-07-13,2.91,3.18,2.88,3.15,3.15,409064000,3.058400000000002,53.91095213835616
1999-07-14,3.18,3.38,3.15,3.38,3.38,388072000,3.0506000000000015,59.3370705976001
1999-07-15,3.38,3.54,3.33,3.49,3.49,455260000,3.0488000000000017,61.661801903559954
1999-07-16,3.47,3.56,3.4,3.44,3.44,205948000,3.0444000000000018,59.98313223103446
1999-07-19,3.4,3.42,3.29,3.29,3.29,188768000,3.041600000000001,55.13389279647225
1999-07-20,3.23,3.23,3.0,3.0,3.0,344436000,3.0334000000000017,47.19074342878123
1999-07-21,3.03,3.21,3.01,3.14,3.14,342688000,3.0228000000000015,50.870594968495034
1999-07-22,2.91,2.93,2.62,2.67,2.67,1150944000,3.002000000000001,40.63383420143122
1999-07-23,2.75,2.87,2.58,2.86,2.86,601612000,2.9878000000000013,45.41576605655549
1999-07-26,2.76,2.89,2.62,2.65,2.65,612552000,2.972800000000001,41.4423909816488
1999-07-27,2.72,2.76,2.5,2.53,2.53,475396000,2.9572000000000016,39.32515161973668
1999-07-28,2.55,2.65,2.49,2.64,2.64,515672000,2.941200000000001,42.238291308835
1999-07-29,2.56,2.61,2.5,2.54,2.54,374960000,2.925600000000001,40.342012598209315
1999-07-30,2.55,2.57,2.44,2.5,2.5,241140000,2.905800000000001,39.57662873831849
1999-08-02,2.46,2.55,2.35,2.35,2.35,339356000,2.887400000000001,36.76009887095644
1999-08-03,2.42,2.42,2.24,2.37,2.37,582780000,2.8706000000000005,37.39979648256337
1999-08-04,2.34,2.41,2.2,2.21,2.21,448228000,2.8560000000000008,34.40174751842729
1999-08-05,2.19,2.45,2.05,2.43,2.43,750340000,2.848800000000001,41.362157866610374
1999-08-06,2.42,2.49,2.23,2.24,2.24,424376000,2.833200000000001,37.64691218183014
1999-08-09,2.29,2.29,2.11,2.14,2.14,260828000,2.8188000000000004,35.82310604914384
1999-08-10,2.13,2.3,2.05,2.28,2.28,463900000,2.8050000000000006,40.19152946423803
1999-08-11,2.31,2.38,2.13,2.27,2.27,513100000,2.7974000000000006,39.982181296636305
1999-08-12,2.28,2.39,2.23,2.29,2.29,262816000,2.7872000000000003,40.64804347857275
1999-08-13,2.38,2.44,2.35,2.44,2.44,215696000,2.7834000000000003,45.52910828591104
1999-08-16,2.46,2.52,2.39,2.46,2.46,255064000,2.7784000000000004,46.1648328892475
1999-08-17,2.51,2.74,2.5,2.73,2.73,473376000,2.7744,53.97433057102826
1999-08-18,2.88,2.94,2.81,2.83,2.83,568308000,2.7752000000000003,56.49171706666252
1999-08-19,2.77,2.78,2.63,2.65,2.65,365700000,2.7712000000000008,51.07636209125677
1999-08-20,2.66,2.84,2.63,2.84,2.84,285624000,2.7700000000000005,55.88372360865773
1999-08-23,2.9,3.01,2.89,2.96,2.96,384120000,2.7762000000000007,58.647495439690935
1999-08-24,2.9,3.14,2.9,3.0,3.0,500200000,2.7902000000000005,59.55701074924322
1999-08-25,3.07,3.33,3.04,3.32,3.32,418828000,2.8084000000000002,65.99968042436824
1999-08-26,3.33,3.39,3.19,3.21,3.21,384884000,2.8168000000000006,62.32425909278432
1999-08-27,3.26,3.26,3.12,3.21,3.21,258456000,2.824600000000001,62.32425909278432
1999-08-30,3.19,3.25,2.95,2.98,2.98,369888000,2.8286000000000007,54.90919524019237
1999-08-31,2.96,3.12,2.8,3.11,3.11,655848000,2.829000000000001,57.95415171678605
1999-09-01,3.17,3.17,2.94,2.98,2.98,439232000,2.8298000000000005,54.0252212704846
1999-09-02,2.88,3.1,2.87,3.0,3.0,336774000,2.831000000000001,54.535879003337925
1999-09-03,3.18,3.2,3.03,3.12,3.12,328718000,2.8366000000000007,57.58035940966554
1999-09-07,3.19,3.22,3.11,3.15,3.15,180174000,2.844600000000001,58.33159465756648
1999-09-08,3.1,3.16,3.05,3.07,3.07,139520000,2.8506000000000005,55.50852202549805
1999-09-09,3.17,3.22,3.12,3.18,3.18,183664000,2.8562000000000007,58.483772078817665
1999-09-10,3.3,3.4,3.24,3.33,3.33,248418000,2.8602000000000007,62.19625699735833
1999-09-13,3.28,3.3,3.12,3.17,3.17,154952000,2.8624000000000005,56.40252061840829
1999-09-14,3.14,3.32,3.14,3.3,3.3,175656000,2.866400000000001,59.68826675255507
1999-09-15,3.39,3.4,3.25,3.28,3.28,156346000,2.868600000000001,58.952155192276436
1999-09-16,3.25,3.29,3.14,3.26,3.26,141178000,2.8728000000000007,58.17945854339565
1999-09-17,3.28,3.3,3.14,3.19,3.19,144790000,2.874000000000001,55.44047746811036
1999-09-20,3.18,3.25,3.13,3.14,3.14,119142000,2.874000000000001,53.50292475112243
1999-09-21,3.08,3.2,3.05,3.11,3.11,164650000,2.877600000000001,52.32140257577505
1999-09-22,3.14,3.33,3.03,3.3,3.3,200750000,2.880600000000001,58.562674442675046
1999-09-23,3.35,3.44,3.06,3.11,3.11,287472000,2.8752000000000013,51.32698283286926
1999-09-24,3.1,3.3,3.08,3.25,3.25,219450000,2.8704000000000014,55.67295595558668
1999-09-27,3.31,3.39,3.09,3.13,3.13,287662000,2.864200000000001,51.43374698359244
1999-09-28,3.12,3.33,3.06,3.29,3.29,315376000,2.864200000000001,56.22043782815713
1999-09-29,3.33,4.25,3.29,4.04,4.04,1587488000,2.885000000000001,70.76565282441872
1999-09-30,3.99,4.07,3.81,4.0,4.0,620924000,2.9022000000000014,69.44056283029799
1999-10-01,3.85,3.96,3.83,3.86,3.86,208606000,2.926000000000002,64.86262288334525
1999-10-04,3.97,3.99,3.79,3.85,3.85,195148000,2.9458000000000015,64.53534913489545
1999-10-05,3.86,3.99,3.74,3.92,3.92,328402000,2.9712000000000014,65.83486771775945
1999-10-06,3.98,4.18,3.97,4.12,4.12,310644000,3.0030000000000014,69.29657447701732
1999-10-07,4.28,4.5,4.18,4.37,4.37,492188000,3.0376000000000016,72.98175674901609
1999-10-08,4.34,4.47,4.22,4.46,4.46,229174000,3.076000000000002,74.1830902346384
1999-10-11,4.46,4.47,4.34,4.42,4.42,133848000,3.1144000000000016,72.63723805453051
1999-10-12,4.38,4.43,4.24,4.25,4.25,144628000,3.152400000000002,66.31263942168823
1999-10-13,4.12,4.25,3.98,4.0,4.0,231236000,3.185000000000002,58.276574539956904
1999-10-14,4.03,4.17,3.92,3.98,3.98,254260000,3.2204000000000015,57.674424032562946
1999-10-15,3.79,3.85,3.7,3.75,3.75,243738000,3.2468000000000012,51.131363500551444
1999-10-18,3.75,3.83,3.55,3.7,3.7,215876000,3.2760000000000007,49.808461565922556
1999-10-19,3.88,3.91,3.78,3.83,3.83,155600000,3.3098000000000014,53.19888913208693
1999-10-20,3.92,4.03,3.82,4.03,4.03,154710000,3.344800000000001,57.90952092168293
1999-10-21,3.9,4.14,3.85,4.04,4.04,179220000,3.3802000000000008,58.13641029212929
1999-10-22,4.07,4.18,3.9,3.93,3.93,146096000,3.413000000000001,54.64683431846527
1999-10-25,3.95,4.15,3.9,4.14,4.14,143618000,3.447000000000001,59.628868067783536
